last_name,first_name,middle_name,suffix,nickname,full_name,type,state,district,party,twitter,twitter_id,facebook,youtube,mastodon,ballotpedia_id,washington_post_id,wikipedia_id
Brown,Sherrod,,,,Sherrod Brown,sen,OH,,Democrat,SenSherrodBrown,43910797,SenatorSherrodBrown,SherrodBrownOhio,,Sherrod Brown,,Sherrod Brown
Cantwell,Maria,,,,Maria Cantwell,sen,WA,,Democrat,SenatorCantwell,117501995,senatorcantwell,SenatorCantwell,,Maria Cantwell,,Maria Cantwell
Cardin,Benjamin,L.,,,Benjamin L. Cardin,sen,MD,,Democrat,SenatorCardin,109071031,senatorbencardin,senatorcardin,,Ben Cardin,,Ben Cardin
Carper,Thomas,Richard,,,Thomas R. Carper,sen,DE,,Democrat,SenatorCarper,249787913,tomcarper,senatorcarper,,Tom Carper,,Tom Carper
Casey,Robert,P.,Jr.,Bob,"Robert P. Casey, Jr.",sen,PA,,Democrat,SenBobCasey,171598736,SenatorBobCasey,SenatorBobCasey,,"Bob Casey, Jr.",,Bob Casey Jr.
Feinstein,Dianne,,,,Dianne Feinstein,sen,CA,,Democrat,SenFeinstein,476256944,senatorfeinstein,SenatorFeinstein,,Dianne Feinstein,,Dianne Feinstein
Klobuchar,Amy,Jean,,,Amy Klobuchar,sen,MN,,Democrat,SenAmyKlobuchar,22044727,,senatorklobuchar,,Amy Klobuchar,,Amy Klobuchar
Menendez,Robert,,,Bob,Robert Menendez,sen,NJ,,Democrat,SenatorMenendez,18695134,senatormenendez,SenatorMenendezNJ,,Bob Menendez,,Bob Menendez
Sanders,Bernard,,,Bernie,Bernard Sanders,sen,VT,,Independent,SenSanders,29442313,senatorsanders,senatorsanders,,Bernie Sanders,,Bernie Sanders
Stabenow,Debbie,Ann,,,Debbie Stabenow,sen,MI,,Democrat,SenStabenow,76456274,SenatorStabenow,senatorstabenow,,Debbie Stabenow,,Debbie Stabenow
Tester,Jon,,,,Jon Tester,sen,MT,,Democrat,SenatorTester,515822213,senatortester,senatorjontester,,Jon Tester,,Jon Tester
